PERSON_ID,NAME,DURATION,SITE,TIME
0,Amy Berger,2081.660339,199,09/08/2020 0:14
1,Michael Curry,489.6454614,122,09/08/2020 0:23
2,Robert Ramirez,348.544988,249,09/08/2020 0:03
3,Derek Gonzalez,2672.102809,292,09/08/2020 0:08
4,Gregory Fischer,6426.490471,179,09/08/2020 0:13
5,Erica Walker,3576.065167,299,09/08/2020 0:01
6,Bradley Collins,3112.739727,59,09/08/2020 0:24
7,James Rodriguez,1006.089957,237,09/08/2020 0:01
8,Brandy Padilla,7830.306476,179,09/08/2020 0:07
9,Mark Taylor,2226.229018,251,09/08/2020 0:19
10,Molly Norris,530.9165335,262,09/08/2020 0:27
11,Dillon Jenkins,5305.936672,141,09/08/2020 0:22
12,Lisa Smith,5363.197185,299,09/08/2020 0:01
13,Lauren Gonzalez,3809.343451,134,09/08/2020 0:17
14,James Dean,166.3498975,116,09/08/2020 0:04
15,Sheila Cook,9071.660879,123,09/08/2020 0:09
16,Cassandra Wolfe,13977.85642,170,09/08/2020 0:09
17,Trevor Le,43.2473442,201,09/08/2020 0:14
18,Laura Yang,3890.885111,124,09/08/2020 0:06
19,Ryan Barrett,100.4604973,79,09/08/2020 0:10
20,John Sullivan,978.4373459,0,09/08/2020 0:05
21,Laurie Jordan,2450.747417,11,09/08/2020 0:17
22,Lori Smith,2006.428561,91,09/08/2020 0:13
23,Jennifer Whitehead,5192.347027,125,09/08/2020 0:13
24,Matthew Holland,740.2942145,99,09/08/2020 0:05
25,Jenna Garcia,2726.661982,166,09/08/2020 0:25
26,Hannah Walker,1252.213734,180,09/08/2020 0:05
27,Tony Wong,5265.381497,246,09/08/2020 0:20
28,Christie Lee,427.6847636,127,09/08/2020 0:14
29,Kevin Hood,344.736259,206,09/08/2020 0:02
30,Ashley Booth,1707.958709,16,09/08/2020 0:08
31,Neil Miller Jr.,2123.213623,294,09/08/2020 0:28
32,Sarah Mejia,2729.768554,103,09/08/2020 0:18
33,Kara Mcguire,4180.098315,185,09/08/2020 0:14
34,Leslie Barker,3353.320824,183,09/08/2020 0:00
35,Jennifer Anderson,836.8940257,26,09/08/2020 0:03
36,Savannah Torres,1830.96703,105,09/08/2020 0:03
37,Laura Daniel,6106.246654,145,09/08/2020 0:23
38,Mary Collins,555.7842286,12,09/08/2020 0:15
39,Mark Mcclure,12.33461079,57,09/08/2020 0:00
40,Matthew Mahoney,2943.659284,298,09/08/2020 0:03
41,Renee Hancock,3734.829403,71,09/08/2020 0:25
42,David Chavez Jr.,4297.986053,242,09/08/2020 0:18
43,Douglas Brown,1733.551707,231,09/08/2020 0:18
44,Whitney Harper,11325.25096,287,09/08/2020 0:18
45,Michael Robinson,2222.276751,277,09/08/2020 0:27
46,Heather Saunders,45.77908758,188,09/08/2020 0:22
47,Mark Massey,3919.780419,289,09/08/2020 0:08
48,Ann Smith,2999.381413,175,09/08/2020 0:29
49,Tyler Acevedo,886.4031935,71,09/08/2020 0:25
50,Ryan Hernandez,662.0548075,201,09/08/2020 0:18
51,Melinda Douglas,1606.716419,168,09/08/2020 0:13
52,Michelle Brooks,3607.778322,132,09/08/2020 0:21
53,Jennifer Guzman,7062.968438,238,09/08/2020 0:14
54,Maria Johnson,410.6151866,171,09/08/2020 0:11
55,Lisa Rogers,5790.525742,144,09/08/2020 0:27
56,Heather Stone,433.5903387,108,09/08/2020 0:12
